Sample,Short Code,City Code,State,City
NWRKILNW,NWRKIL,NWRK,IL,
NWTNILXE,NWTNIL,NWTN,IL,
OCNEILXC,OCNEIL,OCNE,IL,
ODLLILXA,ODLLIL,ODLL,IL,
OFLNILMQ,OFLNIL,OFLN,IL,
OGDNILXC,OGDNIL,OGDN,IL,
OGLSILOG,OGLSIL,OGLS,IL,
OKLWILOL,OKLWIL,OKLW,IL,
OKPKILOP,OKPKIL,OKPK,IL,
OKVLILXE,OKVLIL,OKVL,IL,
OKWDILOW,OKWDIL,OKWD,IL,
OLNYILXE,OLNYIL,OLNY,IL,
OQWKILXD,OQWKIL,OQWK,IL,
ORENILXC,ORENIL,OREN,IL,
ORGNILXA,ORGNIL,ORGN,IL,
ORINILXD,ORINIL,ORIN,IL,
ORPKILOR,ORPKIL,ORPK,IL,
ORPKILOW,ORPKIL,ORPK,IL,
OSWGILOS,OSWGIL,OSWG,IL,
OTWAILOT,OTWAIL,OTWA,IL,
OWNCILXC,OWNCIL,OWNC,IL,
PALTILPA,PALTIL,PALT,IL,
PANAILXC,PANAIL,PANA,IL,
PARSILXC,PARSIL,PARS,IL,
PAWNILXC,PAWNIL,PAWN,IL,
PCHNILXE,PCHNIL,PCHN,IL,
PCTNILXA,PCTNIL,PCTN,IL,
PEKNILXD,PEKNIL,PEKN,IL,
PEORILPB,PEORIL,PEOR,IL,
PEORILPJ,PEORIL,PEOR,IL,
PEORILPN,PEORIL,PEOR,IL,
PERCILXE,PERCIL,PERC,IL,
PETNILPT,PETNIL,PETN,IL,
PHILILXC,PHILIL,PHIL,IL,
PKFSILPF,PKFSIL,PKFS,IL,
PLANILPO,PLANIL,PLAN,IL,
PLCYILXA,PLCYIL,PLCY,IL,
PLFDILPL,PLFDIL,PLFD,IL,
PLPKILPP,PLPKIL,PLPK,IL,
PLPLILXC,PLPLIL,PLPL,IL,
PLSTILXE,PLSTIL,PLST,IL,
PNBHILSY,PNBHIL,PNBH,IL,
PNTCILXA,PNTCIL,PNTC,IL,
POLOILXA,POLOIL,POLO,IL,
PPGVILXA,PPGVIL,PPGV,IL,
PPTWILXA,PPTWIL,PPTW,IL,
PRCYILXD,PRCYIL,PRCY,IL,
PRMPILXD,PRMPIL,PRMP,IL,
PRNVILXD,PRNVIL,PRNV,IL,
PRRYILXD,PRRYIL,PRRY,IL,
PRTNILXA,PRTNIL,PRTN,IL,
PSTMILXC,PSTMIL,PSTM,IL,
PTBGILPG,PTBGIL,PTBG,IL,
PTBYILXD,PTBYIL,PTBY,IL,
PTFDILXC,PTFDIL,PTFD,IL,
PXTNILXC,PXTNIL,PXTN,IL,
PYVLILXE,PYVLIL,PYVL,IL,
QNCYILQY,QNCYIL,QNCY,IL,
RBRTILXC,RBRTIL,RBRT,IL,
RBSNILXE,RBSNIL,RBSN,IL,
RCFRILRE,RCFRIL,RCFR,IL,
RCFRILRT,RCFRIL,RCFR,IL,
RCHEILXA,RCHEIL,RCHE,IL,
RCISILRI,RCISIL,RCIS,IL,
RCKTILXA,RCKTIL,RCKT,IL,
RCMDILXA,RCMDIL,RCMD,IL,
RCTNILXA,RCTNIL,RCTN,IL,
RDHSILXC,RDHSIL,RDHS,IL,
RGFMILRF,RGFMIL,RGFM,IL,
RGWYILXE,RGWYIL,RGWY,IL,
RIO ILXD,RIO IL,RIO ,IL,
RLGHILXE,RLGHIL,RLGH,IL,
RMSYILXE,RMSYIL,RMSY,IL,
RNLKILRL,RNLKIL,RNLK,IL,
RNTLILXC,RNTLIL,RNTL,IL,
ROCHILRC,ROCHIL,ROCH,IL,
RONKILXD,RONKIL,RONK,IL,
ROSCILXA,ROSCIL,ROSC,IL,
RSHLILXE,RSHLIL,RSHL,IL,
RSHTILWD,RSHTIL,RSHT,IL,
RSLLILRZ,RSLLIL,RSLL,IL,
RSVLILXD,RSVLIL,RSVL,IL,
RTLDILXA,RTLDIL,RTLD,IL,
RUVLILXC,RUVLIL,RUVL,IL,
RVDLILRD,RVDLIL,RVDL,IL,
RVGVILRG,RVGVIL,RVGV,IL,
RVTNILRV,RVTNIL,RVTN,IL,
RYMNILXC,RYMNIL,RYMN,IL,
RYTNILXE,RYTNIL,RYTN,IL,
SALMILSE,SALMIL,SALM,IL,
SBLTILXA,SBLTIL,SBLT,IL,
SBLYILXC,SBLYIL,SBLY,IL,
SCBGILCO,SCBGIL,SCBG,IL,
SCBGILRS,SCBGIL,SCBG,IL,
SCMNILXA,SCMNIL,SCMN,IL,
SCPKILSP,SCPKIL,SCPK,IL,
SDLLILXC,SDLLIL,SDLL,IL,
SECRILXD,SECRIL,SECR,IL,
SGTNILXC,SGTNIL,SGTN,IL,
SHFDILXA,SHFDIL,SHFD,IL,
SHLNILXA,SHLNIL,SHLN,IL,
SHMNILXC,SHMNIL,SHMN,IL,
SHTCILXE,SHTCIL,SHTC,IL,
SHTWILXE,SHTWIL,SHTW,IL,
SHVLILXC,SHVLIL,SHVL,IL,
SIGLILXC,SIGLIL,SIGL,IL,
SKOKILSK,SKOKIL,SKOK,IL,
SKTNILXA,SKTNIL,SKTN,IL,
SLLVILXC,SLLVIL,SLLV,IL,
SMMTILSM,SMMTIL,SMMT,IL,
SMNKILXA,SMNKIL,SMNK,IL,
SMNRILXE,SMNRIL,SMNR,IL,
SNDVILXE,SNDVIL,SNDV,IL,
SNDWILXA,SNDWIL,SNDW,IL,
SNJSILSS,SNJSIL,SNJS,IL,
SNLDILXD,SNLDIL,SNLD,IL,
SNMNILXA,SNMNIL,SNMN,IL,
SPFDILSL,SPFDIL,SPFD,IL,
SPFDILSW,SPFDIL,SPFD,IL,
SPKNILXS,SPKNIL,SPKN,IL,
SPLDILXD,SPLDIL,SPLD,IL,
SPMNILXE,SPMNIL,SPMN,IL,
SPRTILXE,SPRTIL,SPRT,IL,
SPVYILXA,SPVYIL,SPVY,IL,
SRFDILXE,SRFDIL,SRFD,IL,
STANILSA,STANIL,STAN,IL,
STBGILXC,STBGIL,STBG,IL,
STEMILXE,STEMIL,STEM,IL,
STJSILSH,STJSIL,STJS,IL,
STNGILSI,STNGIL,STNG,IL,
STRNILXD,STRNIL,STRN,IL,
STRTILXA,STRTIL,STRT,IL,
STRWILXA,STRWIL,STRW,IL,
STSNILXC,STSNIL,STSN,IL,
STTRILXC,STTRIL,STTR,IL,
STVYILXA,STVYIL,STVY,IL,
SVNNILXA,SVNNIL,SVNN,IL,
SYBKILXD,SYBKIL,SYBK,IL,
SYCMILXA,SYCMIL,SYCM,IL,
SYMRILXC,SYMRIL,SYMR,IL,
THBOILXC,THBOIL,THBO,IL,
THSNILXA,THSNIL,THSN,IL,
TLBTILXD,TLBTIL,TLBT,IL,
TLDNILXE,TLDNIL,TLDN,IL,
TLONILXC,TLONIL,TLON,IL,
TMPCILXA,TMPCIL,TMPC,IL,
TNPKILTP,TNPKIL,TNPK,IL,
TOLCILXA,TOLCIL,TOLC,IL,
TRENILTR,TRENIL,TREN,IL,
TRIVILTI,TRIVIL,TRIV,IL,
TRMTILXD,TRMTIL,TRMT,IL,
TROYILTY,TROYIL,TROY,IL,
TSCLILXC,TSCLIL,TSCL,IL,
TSKLILXA,TSKLIL,TSKL,IL,
TWNDILXD,TWNDIL,TWND,IL,
TWVLILXC,TWVLIL,TWVL,IL,
TYVLILXC,TYVLIL,TYVL,IL,
ULLNILXE,ULLNIL,ULLN,IL,
UNINILUN,UNINIL,UNIN,IL,
VANDILVA,VANDIL,VAND,IL,
VARNILXD,VARNIL,VARN,IL,
VLGVILXC,VLGVIL,VLGV,IL,
VLRGILXE,VLRGIL,VLRG,IL,
VRDNILXC,VRDNIL,VRDN,IL,
VRMLILXC,VRMLIL,VRML,IL,
VRSLILXC,VRSLIL,VRSL,IL,
WASHILXD,WASHIL,WASH,IL,
WATGILXD,WATGIL,WATG,IL,
WCHCILWC,WCHCIL,WCHC,IL,
WCNDILWU,WCNDIL,WCND,IL,
WDLWILXE,WDLWIL,WDLW,IL,
WDRVILWR,WDRVIL,WDRV,IL,
WDSTILWS,WDSTIL,WDST,IL,
WFFTILXE,WFFTIL,WFFT,IL,
WHHAILXC,WHHAIL,WHHA,IL,
WHTNILWH,WHTNIL,WHTN,IL,
WKGNILWK,WKGNIL,WKGN,IL,
WLDNILXC,WLDNIL,WLDN,IL,
WLMGILWM,WLMGIL,WLMG,IL,
WLMTILWI,WLMTIL,WLMT,IL,
WLNTILXA,WLNTIL,WLNT,IL,
WNDSILXC,WNDSIL,WNDS,IL,
WNLKILXA,WNLKIL,WNLK,IL,
WNSLILXA,WNSLIL,WNSL,IL,
WNTKILWN,WNTKIL,WNTK,IL,
WRBGILXC,WRBGIL,WRBG,IL,
WRRNILXA,WRRNIL,WRRN,IL,
WSTVILWE,WSTVIL,WSTV,IL,
WSVLILXC,WSVLIL,WSVL,IL,
WTMNILXA,WTMNIL,WTMN,IL,
WTSKILWT,WTSKIL,WTSK,IL,
WUNNILXC,WUNNIL,WUNN,IL,
WVRLILXC,WVRLIL,WVRL,IL,
WYCYILXE,WYCYIL,WYCY,IL,
WYNGILXD,WYNGIL,WYNG,IL,
WYNTILXA,WYNTIL,WYNT,IL,
YRVLILYO,YRVLIL,YRVL,IL,
ZIONILZN,ZIONIL,ZION,IL,
ACTNIN01,ACTNIN,ACTN,IN,
AKRNINXA,AKRNIN,AKRN,IN,
ALBNINXA,ALBNIN,ALBN,IN,
ALXNIN01,ALXNIN,ALXN,IN,
ANDRIN01,ANDRIN,ANDR,IN,
ANGLINXA,ANGLIN,ANGL,IN,
ARGSINXA,ARGSIN,ARGS,IN,
ARSNIN01,ARSNIN,ARSN,IN,
ATTCIN01,ATTCIN,ATTC,IN,
ATWDINXA,ATWDIN,ATWD,IN,
AUBNIN01,AUBNIN,AUBN,IN,
AURRINXA,AURRIN,AURR,IN,
AUSTINXA,AUSTIN,AUST,IN,
AVLLINXA,AVLLIN,AVLL,IN,
BDFRIN01,BDFRIN,BDFR,IN,
BERNINXA,BERNIN,BERN,IN,
BFTNIN01,BFTNIN,BFTN,IN,
BKTNINXA,BKTNIN,BKTN,IN,
BKVLINXA,BKVLIN,BKVL,IN,
BLFDIN01,BLFDIN,BLFD,IN,
BNVLIN01,BNVLIN,BNVL,IN,
BRBGIN01,BRBGIN,BRBG,IN,
BRBNINXA,BRBNIN,BRBN,IN,
BRDSINXA,BRDSIN,BRDS,IN,
BRKTINXA,BRKTIN,BRKT,IN,
BRMNINXA,BRMNIN,BRMN,IN,
BROKINXA,BROKIN,BROK,IN,
BRSTINXA,BRSTIN,BRST,IN,
BRTWINXA,BRTWIN,BRTW,IN,
BRVLINXA,BRVLIN,BRVL,IN,
BRYNINXA,BRYNIN,BRYN,IN,
BRZLINXB,BRZLIN,BRZL,IN,
BSVLINXA,BSVLIN,BSVL,IN,
BTLGINXA,BTLGIN,BTLG,IN,
BTLRINXA,BTLRIN,BTLR,IN,
BTVIINXA,BTVIIN,BTVI,IN,
BTVLINXA,BTVLIN,BTVL,IN,
BURLIN01,BURLIN,BURL,IN,
BUVLINXB,BUVLIN,BUVL,IN,
CAYGIN01,CAYGIN,CAYG,IN,
CBCYINXA,CBCYIN,CBCY,IN,
CDLKINCZ,CDLKIN,CDLK,IN,
CFVLIN01,CFVLIN,CFVL,IN,
CHNDIN01,CHNDIN,CHND,IN,
CHRBINXA,CHRBIN,CHRB,IN,
CHRSIN01,CHRSIN,CHRS,IN,
CHTNINXA,CHTNIN,CHTN,IN,
CHTWIN01,CHTWIN,CHTW,IN,
CICRINXA,CICRIN,CICR,IN,
CLMBIN01,CLMBIN,CLMB,IN,
CLPLINXA,CLPLIN,CLPL,IN,
CLTNIN01,CLTNIN,CLTN,IN,
CLVRIN01,CLVRIN,CLVR,IN,
CNVLINXA,CNVLIN,CNVL,IN,
COVLINXA,COVLIN,COVL,IN,
CRANINXA,CRANIN,CRAN,IN,
CRLSINXA,CRLSIN,CRLS,IN,
CRNNINXA,CRNNIN,CRNN,IN,
CRPNINCX,CRPNIN,CRPN,IN,
CRWLINXA,CRWLIN,CRWL,IN,
CSVLINXA,CSVLIN,CSVL,IN,
CTLRINXA,CTLRIN,CTLR,IN,
CYDNINXA,CYDNIN,CYDN,IN,
CYNTINXA,CYNTIN,CYNT,IN,
DALEIN01,DALEIN,DALE,IN,
DAVLIN01,DAVLIN,DAVL,IN,
DCKRINXA,DCKRIN,DCKR,IN,
DCTRINXA,DCTRIN,DCTR,IN,
DLBOINXA,DLBOIN,DLBO,IN,
DLPHINXA,DLPHIN,DLPH,IN,
DNKRINXA,DNKRIN,DNKR,IN,
DNLPINXA,DNLPIN,DNLP,IN,
DNVRINXA,DNVRIN,DNVR,IN,
ECHCINEC,ECHCIN,ECHC,IN,
EDBGIN01,EDBGIN,EDBG,IN,
EENTINXA,EENTIN,EENT,IN,
EKHTINXA,EKHTIN,EKHT,IN,
EKHTINXB,EKHTIN,EKHT,IN,
ELWDIN01,ELWDIN,ELWD,IN,
ELZBINXA,ELZBIN,ELZB,IN,
ENGLINXB,ENGLIN,ENGL,IN,
EVVLIN02,EVVLIN,EVVL,IN,
EZTWIN01,EZTWIN,EZTW,IN,
FAMTINXA,FAMTIN,FAMT,IN,
FDNDINXA,FDNDIN,FDND,IN,
FKLNINXA,FKLNIN,FKLN,IN,
FLORINXA,FLORIN,FLOR,IN,
FMBGINXA,FMBGIN,FMBG,IN,
FMLDINXA,FMLDIN,FMLD,IN,
FNCYINXA,FNCYIN,FNCY,IN,
FRBGINXB,FRBGIN,FRBG,IN,
FRFTIN01,FRFTIN,FRFT,IN,
FRLDIN01,FRLDIN,FRLD,IN,
FRNCINXA,FRNCIN,FRNC,IN,
FRTNINXA,FRTNIN,FRTN,IN,
FRVLINXA,FRVLIN,FRVL,IN,
FTBRINXA,FTBRIN,FTBR,IN,
FTWYINXB,FTWYIN,FTWY,IN,
FTWYINXC,FTWYIN,FTWY,IN,
FTWYINXD,FTWYIN,FTWY,IN,
FTWYINXE,FTWYIN,FTWY,IN,
FTWYINXF,FTWYIN,FTWY,IN,
FTWYINXG,FTWYIN,FTWY,IN,
FTWYINXL,FTWYIN,FTWY,IN,
FWLRIN01,FWLRIN,FWLR,IN,
GALNIN01,GALNIN,GALN,IN,
GARYINGM,GARYIN,GARY,IN,
GARYINGO,GARYIN,GARY,IN,
GARYINGR,GARYIN,GARY,IN,
GARYINGW,GARYIN,GARY,IN,
GENVINXA,GENVIN,GENV,IN,
GLWDINXA,GLWDIN,GLWD,IN,
GNBGINXB,GNBGIN,GNBG,IN,
GNCSINXA,GNCSIN,GNCS,IN,
GNFDIN01,GNFDIN,GNFD,IN,
GNTWIN01,GNTWIN,GNTW,IN,
GNWDIN01,GNWDIN,GNWD,IN,
GRRTINXA,GRRTIN,GRRT,IN,
GRTWINXA,GRTWIN,GRTW,IN,
GSHNINXA,GSHNIN,GSHN,IN,
GUFDINXA,GUFDIN,GUFD,IN,
HANNINXA,HANNIN,HANN,IN,
HBRTINXA,HBRTIN,HBRT,IN,
HEVLINXA,HEVLIN,HEVL,IN,
HGBGINXA,HGBGIN,HGBG,IN,
HGLDINHL,HGLDIN,HGLD,IN,
HMNDINHE,HMNDIN,HMND,IN,
HMNDINHW,HMNDIN,HMND,IN,
HMTNINXA,HMTNIN,HMTN,IN,
HNTNIN01,HNTNIN,HNTN,IN,
HNTWINXA,HNTWIN,HNTW,IN,
HNVRINXA,HNVRIN,HNVR,IN,
HOPEIN01,HOPEIN,HOPE,IN,
HRCYIN01,HRCYIN,HRCY,IN,
HRLNINXA,HRLNIN,HRLN,IN,
HYVLINXA,HYVLIN,HYVL,IN,
HZTNINXA,HZTNIN,HZTN,IN,
IDVLINXA,IDVLIN,IDVL,IN,
IPLSIN02,IPLSIN,IPLS,IN,
IPLSIN03,IPLSIN,IPLS,IN,
IPLSIN04,IPLSIN,IPLS,IN,
IPLSIN06,IPLSIN,IPLS,IN,
IPLSIN09,IPLSIN,IPLS,IN,
IPLSIN10,IPLSIN,IPLS,IN,
IPLSIN18,IPLSIN,IPLS,IN,
IPLSIN21,IPLSIN,IPLS,IN,
IPLSINCM,IPLSIN,IPLS,IN,
IPLSINMN,IPLSIN,IPLS,IN,
JFVLIN01,JFVLIN,JFVL,IN,
JMTWINXA,JMTWIN,JMTW,IN,
JSPRINXA,JSPRIN,JSPR,IN,
KDVLIN01,KDVLIN,KDVL,IN,
KMMLINXA,KMMLIN,KMML,IN,
KNTWINXA,KNTWIN,KNTW,IN,
KOKMIN01,KOKMIN,KOKM,IN,
KOKMIN02,KOKMIN,KOKM,IN,
KOTSINXA,KOTSIN,KOTS,IN,
LACNINXA,LACNIN,LACN,IN,
LACRINXA,LACRIN,LACR,IN,
LADGIN01,LADGIN,LADG,IN,
LAFNINXA,LAFNIN,LAFN,IN,
LAPLINXA,LAPLIN,LAPL,IN,
LAPTINXB,LAPTIN,LAPT,IN,
LAPTINXC,LAPTIN,LAPT,IN,
LAPTINXD,LAPTIN,LAPT,IN,
LAPZINXA,LAPZIN,LAPZ,IN,
LARLINXA,LARLIN,LARL,IN,
LBNNIN01,LBNNIN,LBNN,IN,
LBRTINXA,LBRTIN,LBRT,IN,
LEO INXA,LEO IN,LEO ,IN,
LFYTINXA,LFYTIN,LFYT,IN,
LFYTINXB,LFYTIN,LFYT,IN,
LFYTINXC,LFYTIN,LFYT,IN,
LFYTINXD,LFYTIN,LFYT,IN,
LFYTINXF,LFYTIN,LFYT,IN,
LGPTINXA,LGPTIN,LGPT,IN,
LGRNINXA,LGRNIN,LGRN,IN,
LKSTINXA,LKSTIN,LKST,IN,
LNTNIN01,LNTNIN,LNTN,IN,
LNVLINXA,LNVLIN,LNVL,IN,
LOGTINXA,LOGTIN,LOGT,IN,
LRBGINXA,LRBGIN,LRBG,IN,
LWLLIN01,LWLLIN,LWLL,IN,
LXTNINXA,LXTNIN,LXTN,IN,
LYNNINXA,LYNNIN,LYNN,IN,
MARNIN02,MARNIN,MARN,IN,
MARNIN03,MARNIN,MARN,IN,
MCBHINXA,MCBHIN,MCBH,IN,
MCCTIN01,MCCTIN,MCCT,IN,
MCCYIN01,MCCYIN,MCCY,IN,
MDLBINXA,MDLBIN,MDLB,IN,
MDSNINXA,MDSNIN,MDSN,IN,
MDTWIN01,MDTWIN,MDTW,IN,
MDVLINXA,MDVLIN,MDVL,IN,
MEDRINXA,MEDRIN,MEDR,IN,
MEVLINMX,MEVLIN,MEVL,IN,
MGTWIN01,MGTWIN,MGTW,IN,
MILNINXA,MILNIN,MILN,IN,
MLBGINXA,MLBGIN,MLBG,IN,
MLFRINXA,MLFRIN,MLFR,IN,
MLTWINXA,MLTWIN,MLTW,IN,
MNTIINXA,MNTIIN,MNTI,IN,
MNTNINXB,MNTNIN,MNTN,IN,
MONRINXA,MONRIN,MONR,IN,
MOVLINXA,MOVLIN,MOVL,IN,
MRKLINXA,MRKLIN,MRKL,IN,
MRNGINXA,MRNGIN,MRNG,IN,
MRVIIN01,MRVIIN,MRVI,IN,
MSHWIN02,MSHWIN,MSHW,IN,
MTCHINXA,MTCHIN,MTCH,IN,
MTVIIN01,MTVIIN,MTVI,IN,
MTVRIN01,MTVRIN,MTVR,IN,
MTVRINAB,MTVRIN,MTVR,IN,
MUNCIN01,MUNCIN,MUNC,IN,
NBVLIN01,NBVLIN,NBVL,IN,
NMCHINXA,NMCHIN,NMCH,IN,
NNVHINXA,NNVHIN,NNVH,IN,
NPPNINXA,NPPNIN,NPPN,IN,
NSVLIN01,NSVLIN,NSVL,IN,
NVRNINXA,NVRNIN,NVRN,IN,
NWALIN01,NWALIN,NWAL,IN,
NWBRIN01,NWBRIN,NWBR,IN,
NWBSINXA,NWBSIN,NWBS,IN,
NWCRINXA,NWCRIN,NWCR,IN,
NWCSIN01,NWCSIN,NWCS,IN,
NWHNINXA,NWHNIN,NWHN,IN,
NWHRIN01,NWHRIN,NWHR,IN,
NWMLINXA,NWMLIN,NWML,IN,
NWMRIN01,NWMRIN,NWMR,IN,
NWPLIN01,NWPLIN,NWPL,IN,
NWTNIN01,NWTNIN,NWTN,IN,
ODONINXA,ODONIN,ODON,IN,
OKCYINXA,OKCYIN,OKCY,IN,
OKLNIN01,OKLNIN,OKLN,IN,
OKTWINXB,OKTWIN,OKTW,IN,
ORLNINXA,ORLNIN,ORLN,IN,
OSCLIN01,OSCLIN,OSCL,IN,
OSSIINXA,OSSIIN,OSSI,IN,
OTRBIN01,OTRBIN,OTRB,IN,
OWVLINXA,OWVLIN,OWVL,IN,
PATKINXA,PATKIN,PATK,IN,
PATRINXA,PATRIN,PATR,IN,
PERUIN01,PERUIN,PERU,IN,
PKGNINXA,PKGNIN,PKGN,IN,
PKVLINXB,PKVLIN,PKVL,IN,
PLFDIN01,PLFDIN,PLFD,IN,
PLLKINXA,PLLKIN,PLLK,IN,
PLMOINXA,PLMOIN,PLMO,IN,
PLMYINXA,PLMYIN,PLMY,IN,
PNTNINXA,PNTNIN,PNTN,IN,
PRBLINXA,PRBLIN,PRBL,IN,
PRTGINXA,PRTGIN,PRTG,IN,
PRTGINXB,PRTGIN,PRTG,IN,
PRTNINXA,PRTNIN,PRTN,IN,
PTBGINXB,PTBGIN,PTBG,IN,
PTLDINXA,PTLDIN,PTLD,IN,
RCMDINXB,RCMDIN,RCMD,IN,
RCPTIN01,RCPTIN,RCPT,IN,
RDTNINXA,RDTNIN,RDTN,IN,
RILYINXA,RILYIN,RILY,IN,
RLPRINXA,RLPRIN,RLPR,IN,
RMSYINXA,RMSYIN,RMSY,IN,
RMTNINXA,RMTNIN,RMTN,IN,
RNSLINXA,RNSLIN,RNSL,IN,
RONKINXA,RONKIN,RONK,IN,
ROVLINXA,ROVLIN,ROVL,IN,
RSSNINXA,RSSNIN,RSSN,IN,
RSVRINXA,RSVRIN,RSVR,IN,
RUVLINXB,RUVLIN,RUVL,IN,
RYCTINXA,RYCTIN,RYCT,IN,
RYNLINXA,RYNLIN,RYNL,IN,
SALMINXA,SALMIN,SALM,IN,
SBNDIN03,SBNDIN,SBND,IN,
SBNDIN04,SBNDIN,SBND,IN,
SCBGINXA,SCBGIN,SCBG,IN,
SCIPINXA,SCIPIN,SCIP,IN,
SCVLINDY,SCVLIN,SCVL,IN,
SHLBINXA,SHLBIN,SHLB,IN,
SHLSINXA,SHLSIN,SHLS,IN,
SHRDIN01,SHRDIN,SHRD,IN,
SHVLIN01,SHVLIN,SHVL,IN,
SLBGIN01,SLBGIN,SLBG,IN,
SLLKINXA,SLLKIN,SLLK,IN,
SLLVINXA,SLLVIN,SLLV,IN,
SMVIIN01,SMVIIN,SMVI,IN,
SNPRINXA,SNPRIN,SNPR,IN,
SNRGIN01,SNRGIN,SNRG,IN,
SPLDINXA,SPLDIN,SPLD,IN,
SPNCIN01,SPNCIN,SPNC,IN,
STATINXA,STATIN,STAT,IN,
STJHINSJ,STJHIN,STJH,IN,
STJOINXA,STJOIN,STJO,IN,
STJSIN01,STJSIN,STJS,IN,
SWHTINXA,SWHTIN,SWHT,IN,
SYMRINXA,SYMRIN,SYMR,IN,
SYRCINXA,SYRCIN,SYRC,IN,
TLCYIN01,TLCYIN,TLCY,IN,
TPCNINXB,TPCNIN,TPCN,IN,
TRFGINXA,TRFGIN,TRFG,IN,
TRILINXA,TRILIN,TRIL,IN,
TRRHINXA,TRRHIN,TRRH,IN,
TRRHINXB,TRRHIN,TRRH,IN,
TRRHINXC,TRRHIN,TRRH,IN,
TRRHINXD,TRRHIN,TRRH,IN,
TRRHINXE,TRRHIN,TRRH,IN,
TRRHINXF,TRRHIN,TRRH,IN,
UNCYINXA,UNCYIN,UNCY,IN,
UNMLINXA,UNMLIN,UNML,IN,
UPLDIN01,UPLDIN,UPLD,IN,
VEVYINXA,VEVYIN,VEVY,IN,
VINCIN01,VINCIN,VINC,IN,
VLPRINXA,VLPRIN,VLPR,IN,
VNBRINXA,VNBRIN,VNBR,IN,
VRSLINXA,VRSLIN,VRSL,IN,
WASHIN01,WASHIN,WASH,IN,
WAWKINXA,WAWKIN,WAWK,IN,
WBSHINXA,WBSHIN,WBSH,IN,
WCCRINXA,WCCRIN,WCCR,IN,
WDBNINXA,WDBNIN,WDBN,IN,
WHFDINXA,WHFDIN,WHFD,IN,
WHLDINXA,WHLDIN,WHLD,IN,
WHLRINXA,WHLRIN,WHLR,IN,
WHNGINWT,WHNGIN,WHNG,IN,
WKRSINXA,WKRSIN,WKRS,IN,
WKSNINXA,WKSNIN,WKSN,IN,
WLCTINXA,WLCTIN,WLCT,IN,
WLVLINXA,WLVLIN,WLVL,IN,
WNCHINXA,WNCHIN,WNCH,IN,
WNFLINXA,WNFLIN,WNFL,IN,
WNMCINXA,WNMCIN,WNMC,IN,
WNTHINXA,WNTHIN,WNTH,IN,
WNTNIN01,WNTNIN,WNTN,IN,
WRSWINXA,WRSWIN,WRSW,IN,
WSFDINXA,WSFDIN,WSFD,IN,
WSFDINXB,WSFDIN,WSFD,IN,
WSPTINXA,WSPTIN,WSPT,IN,
WSTVINXA,WSTVIN,WSTV,IN,
WTLDINXA,WTLDIN,WTLD,IN,
WTRLINXA,WTRLIN,WTRL,IN,
WYTTINXA,WYTTIN,WYTT,IN,
ZIVLIN01,ZIVLIN,ZIVL,IN,
ABVLKSXA,ABVLKS,ABVL,KS,
ALMEKSMA,ALMEKS,ALME,KS,
ALMTKSXA,ALMTKS,ALMT,KS,
ANDLKSHI,ANDLKS,ANDL,KS,
ARCYKSSO,ARCYKS,ARCY,KS,
ARTNKSXA,ARTNKS,ARTN,KS,
ATTCKSAA,ATTCKS,ATTC,KS,
ATWDKSST,ATWDKS,ATWD,KS,
BELTKS02,BELTKS,BELT,KS,
BHLRKSXA,BHLRKS,BHLR,KS,
BLDWKSXA,BLDWKS,BLDW,KS,
BLLPKSXA,BLLPKS,BLLP,KS,
BLMNKSXA,BLMNKS,BLMN,KS,
BLVLKSMS,BLVLKS,BLVL,KS,
BRRTKSXA,BRRTKS,BRRT,KS,
BURLKSXA,BURLKS,BURL,KS,
BXSPKSXA,BXSPKS,BXSP,KS,
CANYKS05,CANYKS,CANY,KS,
CFVLKS10,CFVLKS,CFVL,KS,
CHASKSWE,CHASKS,CHAS,KS,
CHNTKSSS,CHNTKS,CHNT,KS,
CHNYKSKI,CHNYKS,CHNY,KS,
CHTPKSBE,CHTPKS,CHTP,KS,
CHVAKSEM,CHVAKS,CHVA,KS,
CLBYKS05,CLBYKS,CLBY,KS,
CLCTKS06,CLCTKS,CLCT,KS,
CLFLKSXA,CLFLKS,CLFL,KS,
CNCRKSBR,CNCRKS,CNCR,KS,
CNHMKSXA,CNHMKS,CNHM,KS,
CNTNKSSM,CNTNKS,CNTN,KS,
CPMNKS04,CPMNKS,CPMN,KS,
DDCYKS01,DDCYKS,DDCY,KS,
DELIKSXA,DELIKS,DELI,KS,
DGLSKSPI,DGLSKS,DGLS,KS,
ELDOKSST,ELDOKS,ELDO,KS,
ELLNKSXA,ELLNKS,ELLN,KS,
ELWOKSNO,ELWOKS,ELWO,KS,
EMMTKSXA,EMMTKS,EMMT,KS,
EMPRKS08,EMPRKS,EMPR,KS,
ENTRKSCT,ENTRKS,ENTR,KS,
ERIEKSCI,ERIEKS,ERIE,KS,
EUDRKSKI,EUDRKS,EUDR,KS,
EURKKSEL,EURKKS,EURK,KS,
FNTAKSXA,FNTAKS,FNTA,KS,
FRFTKSLO,FRFTKS,FRFT,KS,
FTSCKS01,FTSCKS,FTSC,KS,
GDLDKSAB,GDLDKS,GDLD,KS,
GNBGKSFL,GNBGKS,GNBG,KS,
GRCYKS07,GRCYKS,GRCY,KS,
GRDLKSXA,GRDLKS,GRDL,KS,
GRELKSXA,GRELKS,GREL,KS,
GRNRKSXA,GRNRKS,GRNR,KS,
